ID do Aventureiro,Nome do Personagem,Classe Mágica,Poder Mágico (%)
1,Sir Croissant,Cavaleiro de Pijama,78.3
2,Luna Brilhinho,Maga do Glitter,92.7
3,Bolinho de Chuva,Druida de Sobremesas,65.1
4,Thorfinn Puff,Barbarian Vegano,44.9
5,Dona Cenoura,Feiticeira Hortelã,88.0
6,Zé do Pijama Flamejante,Ninja Noturno,31.5
7,Glimmer Sparkle,Elfo da Wi-Fi,99.2
8,Chico Bolacha,Paladino das Tapiocas,56.8
9,Madame Puf,Pixie do Café Expresso,73.4
10,Bruxo Zé Gotinha,Curandeiro de Resfriados,61.0
11,Princesa Wi-Fi,Arcanista do TikTok,84.6
12,Goblin do Delivery,Xamã do Delivery,22.3
13,Mestre do Pão de Queijo,Guardião do Sofá,69.8
14,Fada do Carregador,Ladino do Desconto,47.1
15,Tio do Churrasco Místico,Caçador de Meias Perdidas,33.9
16,Nina Nuvem,Sacerdote do Fone de Ouvido,91.4
17,Bob Esponja Encantado,Bardo das Memes,58.2
18,Vovó Meteoro,Necromante de Plantas de Casa,76.5
19,Capitão Pipoca,Alquimista de Smoothie,42.0
20,Lady Crocante,Mago do Micro-ondas,87.7
21,Dr. Soninho,Cavaleiro de Pijama,29.6
22,Xamã do Chocolate Quente,Druida de Sobremesas,95.3
23,Rainha do Puff,Feiticeira Hortelã,63.8
24,Mago do Café,Elfo da Wi-Fi,71.2
25,Duque do Abraço,Paladino das Tapiocas,50.4
26,Troll das Redes Sociais,Bardo das Memes,12.9
27,Elfo do Wi-Fi,Arcanista do TikTok,98.1
28,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,77.6
29,Cavaleiro do Sofá,Guardião do Sofá,82.0
30,Sereia do Banho de Espuma,Pixie do Café Expresso,39.5
31,Sir Croissant,Ninja Noturno,66.7
32,Luna Brilhinho,Maga do Glitter,89.3
33,Bolinho de Chuva,Barbarian Vegano,54.8
34,Thorfinn Puff,Druida de Sobremesas,72.1
35,Dona Cenoura,Feiticeira Hortelã,45.6
36,Zé do Pijama Flamejante,Cavaleiro de Pijama,30.2
37,Glimmer Sparkle,Elfo da Wi-Fi,96.4
38,Chico Bolacha,Paladino das Tapiocas,68.9
39,Madame Puf,Pixie do Café Expresso,51.7
40,Bruxo Zé Gotinha,Curandeiro de Resfriados,83.5
41,Princesa Wi-Fi,Arcanista do TikTok,74.0
42,Goblin do Delivery,Xamã do Delivery,18.8
43,Mestre do Pão de Queijo,Guardião do Sofá,90.2
44,Fada do Carregador,Ladino do Desconto,41.3
45,Tio do Churrasco Místico,Caçador de Meias Perdidas,62.6
46,Nina Nuvem,Sacerdote do Fone de Ouvido,79.9
47,Bob Esponja Encantado,Bardo das Memes,27.4
48,Vovó Meteoro,Necromante de Plantas de Casa,85.1
49,Capitão Pipoca,Alquimista de Smoothie,59.7
50,Lady Crocante,Mago do Micro-ondas,93.8
51,Dr. Soninho,Cavaleiro de Pijama,36.0
52,Xamã do Chocolate Quente,Druida de Sobremesas,70.5
53,Rainha do Puff,Feiticeira Hortelã,81.2
54,Mago do Café,Elfo da Wi-Fi,48.9
55,Duque do Abraço,Paladino das Tapiocas,64.3
56,Troll das Redes Sociais,Bardo das Memes,15.7
57,Elfo do Wi-Fi,Arcanista do TikTok,97.6
58,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,55.4
59,Cavaleiro do Sofá,Guardião do Sofá,73.1
60,Sereia do Banho de Espuma,Pixie do Café Expresso,40.8
61,Sir Croissant,Barbarian Vegano,86.3
62,Luna Brilhinho,Maga do Glitter,67.9
63,Bolinho de Chuva,Ninja Noturno,52.2
64,Thorfinn Puff,Druida de Sobremesas,94.7
65,Dona Cenoura,Feiticeira Hortelã,38.6
66,Zé do Pijama Flamejante,Cavaleiro de Pijama,75.0
67,Glimmer Sparkle,Elfo da Wi-Fi,89.9
68,Chico Bolacha,Paladino das Tapiocas,60.1
69,Madame Puf,Pixie do Café Expresso,43.4
70,Bruxo Zé Gotinha,Curandeiro de Resfriados,77.2
71,Princesa Wi-Fi,Arcanista do TikTok,91.8
72,Goblin do Delivery,Xamã do Delivery,24.5
73,Mestre do Pão de Queijo,Guardião do Sofá,69.3
74,Fada do Carregador,Ladino do Desconto,56.7
75,Tio do Churrasco Místico,Caçador de Meias Perdidas,82.4
76,Nina Nuvem,Sacerdote do Fone de Ouvido,49.0
77,Bob Esponja Encantado,Bardo das Memes,33.6
78,Vovó Meteoro,Necromante de Plantas de Casa,95.9
79,Capitão Pipoca,Alquimista de Smoothie,71.5
80,Lady Crocante,Mago do Micro-ondas,58.8
81,Dr. Soninho,Cavaleiro de Pijama,84.2
82,Xamã do Chocolate Quente,Druida de Sobremesas,63.7
83,Rainha do Puff,Feiticeira Hortelã,76.1
84,Mago do Café,Elfo da Wi-Fi,90.6
85,Duque do Abraço,Paladino das Tapiocas,47.3
86,Troll das Redes Sociais,Bardo das Memes,19.2
87,Elfo do Wi-Fi,Arcanista do TikTok,98.7
88,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,65.9
89,Cavaleiro do Sofá,Guardião do Sofá,80.4
90,Sereia do Banho de Espuma,Pixie do Café Expresso,37.8
91,Sir Croissant,Ninja Noturno,72.5
92,Luna Brilhinho,Maga do Glitter,88.3
93,Bolinho de Chuva,Barbarian Vegano,59.1
94,Thorfinn Puff,Druida de Sobremesas,93.0
95,Dona Cenoura,Feiticeira Hortelã,44.4
96,Zé do Pijama Flamejante,Cavaleiro de Pijama,61.9
97,Glimmer Sparkle,Elfo da Wi-Fi,96.8
98,Chico Bolacha,Paladino das Tapiocas,53.2
99,Madame Puf,Pixie do Café Expresso,78.6
100,Bruxo Zé Gotinha,Curandeiro de Resfriados,66.0
101,Princesa Wi-Fi,Arcanista do TikTok,85.5
102,Goblin do Delivery,Xamã do Delivery,28.1
103,Mestre do Pão de Queijo,Guardião do Sofá,74.7
104,Fada do Carregador,Ladino do Desconto,42.9
105,Tio do Churrasco Místico,Caçador de Meias Perdidas,89.2
106,Nina Nuvem,Sacerdote do Fone de Ouvido,57.3
107,Bob Esponja Encantado,Bardo das Memes,21.8
108,Vovó Meteoro,Necromante de Plantas de Casa,92.4
109,Capitão Pipoca,Alquimista de Smoothie,68.0
110,Lady Crocante,Mago do Micro-ondas,79.6
